# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 14 14:17:26 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_hostname,pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,st_lum
11 Com,11 Com b,326.03000000,1.290000,0.231000,19.40000,,4742.00,2.70,19.00,2.243
11 UMi,11 UMi b,516.21997000,1.530000,0.080000,14.74000,,4213.00,2.78,29.79,
14 And,14 And b,185.84000000,0.830000,0.000000,4.80000,,4813.00,2.20,11.00,1.763
14 Her,14 Her b,1773.40002000,2.930000,0.370000,4.66000,,5338.00,0.90,0.93,
16 Cyg B,16 Cyg B b,798.50000000,1.660000,0.680000,1.78000,,5750.00,1.08,1.13,
18 Del,18 Del b,993.30000000,2.600000,0.080000,10.30000,,4979.00,2.30,8.50,1.602
1RXS J160929.1-210524,1RXS J160929.1-210524 b,,330.000000,,8.00000,,4060.00,0.85,,-0.370
24 Boo,24 Boo b,30.35060000,0.190000,0.042000,0.91000,,4893.00,0.99,10.64,1.774
24 Sex,24 Sex b,452.80000000,1.333000,0.090000,1.99000,,5098.00,1.54,4.90,1.164
24 Sex,24 Sex c,883.00000000,2.080000,0.290000,0.86000,,5098.00,1.54,4.90,1.164
2MASS J01225093-2439505,2MASS J01225093-2439505 b,,52.000000,,24.50000,,3530.00,0.40,,-1.720
2MASS J02192210-3925225,2MASS J02192210-3925225 b,,156.000000,,13.90000,1.440,3064.00,0.11,0.28,-2.230
2MASS J04414489+2301513,2MASS J04414489+2301513 b,,15.000000,,7.50000,,,0.02,,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,,46.000000,,4.00000,,,0.02,,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,416.00000000,0.920000,,1.90000,,,0.48,,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,7336.50000000,,0.260000,20.95000,0.920,2300.00,0.08,0.12,-3.480
2MASS J22362452+4751425,2MASS J22362452+4751425 b,,230.000000,,12.50000,,4045.00,0.60,,
30 Ari B,30 Ari B b,335.10001000,0.990000,0.290000,13.82000,,6331.00,1.93,1.41,
4 UMa,4 UMa b,269.30000000,0.870000,0.432000,7.10000,,4415.00,1.23,18.11,
42 Dra,42 Dra b,479.10000000,1.190000,0.380000,3.88000,,4200.00,0.98,22.03,
